request_id,kind,quadrature_points,frequency_hz,state,model,rho1,rho2,rho_bone,rho_heart,rho_fat
q256_50000_inhale_ts_without_fat,literature,256,50000,inhale,ts_without_fat,2.8422994730753133,9.741271489527174,48.44512605796346,5.116784420483874,23.10860752066953
q256_50000_inhale_ts_with_fat,literature,256,50000,inhale,ts_with_fat,2.8422994730753133,9.741271489527174,48.44512605796346,5.116784420483874,23.10860752066953
q256_50000_exhale_ts_without_fat,literature,256,50000,exhale,ts_without_fat,2.8422994730753133,3.8172830517819216,48.44512605796346,5.116784420483874,23.10860752066953
q256_50000_exhale_ts_with_fat,literature,256,50000,exhale,ts_with_fat,2.8422994730753133,3.8172830517819216,48.44512605796346,5.116784420483874,23.10860752066953
q256_100000_inhale_ts_without_fat,literature,256,100000,inhale,ts_without_fat,2.763585998155971,9.315252924705513,48.097673525578465,4.648809057547718,23.040605218284
q256_100000_inhale_ts_with_fat,literature,256,100000,inhale,ts_with_fat,2.763585998155971,9.315252924705513,48.097673525578465,4.648809057547718,23.040605218284
q256_100000_exhale_ts_without_fat,literature,256,100000,exhale,ts_without_fat,2.763585998155971,3.681694080732877,48.097673525578465,4.648809057547718,23.040605218284
q256_100000_exhale_ts_with_fat,literature,256,100000,exhale,ts_with_fat,2.763585998155971,3.681694080732877,48.097673525578465,4.648809057547718,23.040605218284
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.8422994730753133,9.741271489527174,48.44512605796346,5.116784420483874,23.10860752066953
q1024_50000_inhale_ts_with_fat,literature,1024,50000,inhale,ts_with_fat,2.8422994730753133,9.741271489527174,48.44512605796346,5.116784420483874,23.10860752066953
q1024_50000_exhale_ts_without_fat,literature,1024,50000,exhale,ts_without_fat,2.8422994730753133,3.8172830517819216,48.44512605796346,5.116784420483874,23.10860752066953
q1024_50000_exhale_ts_with_fat,literature,1024,50000,exhale,ts_with_fat,2.8422994730753133,3.8172830517819216,48.44512605796346,5.116784420483874,23.10860752066953
q1024_100000_inhale_ts_without_fat,literature,1024,100000,inhale,ts_without_fat,2.763585998155971,9.315252924705513,48.097673525578465,4.648809057547718,23.040605218284
q1024_100000_inhale_ts_with_fat,literature,1024,100000,inhale,ts_with_fat,2.763585998155971,9.315252924705513,48.097673525578465,4.648809057547718,23.040605218284
q1024_100000_exhale_ts_without_fat,literature,1024,100000,exhale,ts_without_fat,2.763585998155971,3.681694080732877,48.097673525578465,4.648809057547718,23.040605218284
q1024_100000_exhale_ts_with_fat,literature,1024,100000,exhale,ts_with_fat,2.763585998155971,3.681694080732877,48.097673525578465,4.648809057547718,23.040605218284
equal_ts_without_fat,equal_material_limit,1024,50000,control,ts_without_fat,4.0,4.0,4.0,4.0,4.0
equal_ts_with_fat,equal_material_limit,1024,50000,control,ts_with_fat,4.0,4.0,4.0,4.0,4.0
equal_homogeneous,equal_material_limit,1024,50000,control,homogeneous,4.0,4.0,4.0,4.0,4.0
fat_equal_ts_without_fat,fat_equal_limit,1024,50000,control,ts_without_fat,3.0,10.0,48.0,5.0,3.0
fat_equal_ts_with_fat,fat_equal_limit,1024,50000,control,ts_with_fat,3.0,10.0,48.0,5.0,3.0
